Name of Organization,Program,Address,Borough,Postcode,Served By,Event Date,Citywide Outreach,Age,Head Start PreK,Hospital Health Care,Seniors,Community Site,Hands On,Special Needs,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),the_geom,Site_Serve,Event_Date,Activity,LONG,LAT,X,Y,opportunity_id,content_id,vol_requests,event_time,title,hits,summary,is_priority,category_id,category_desc,amsl,amsl_unit,org_title,org_content_id,addresses_count,locality,region,primary_loc,display_url,recurrence_type,hours,created_date,last_modified_date,start_date_date,end_date_date,status,Community Council ,Census Tract,NTA
Ps 372 Children'S School (The),Outreach,512 Carroll Street,BK,11215,Citywide Outreach,08/05/2024,"Summer Camp
Summer Camp","Grade 3
Grade 5",No,No,No,No,No,,40.676668,-73.985258,306.0,39.0,3007707.0,3004550001.0,11901.0,BK0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Car Seat Check,Child Passenger Safety,192-09 Crocheron Avenue,QN,11358,Citywide Outreach,08/05/2024,Car Seat Check,Adults,No,No,No,No,No,,40.763739,-73.789867,411.0,19.0,4120070.0,4053130028.0,1139.0,QN1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115th Precinct,Special Event,92-15 Northern Blvd.,QN,11372,Citywide Outreach,08/06/2024,Community Fair,Children,No,No,No,Yes,No,,40.756571,-73.875836,403.0,21.0,4034862.0,4014220034.0,351.0,QN0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Car Seat Check #1,Child Passenger Safety,477 3 Street,BK,11215,Citywide Outreach,08/06/2024,Car Seat Check,Adults,No,No,No,No,No,,40.670958,-73.979459,306.0,39.0,3021029.0,3009760054.0,155.0,BK0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville Neighborhood Health Action Center,Child Passenger Safety,259 Bristol Street,BK,11212,Citywide Outreach,08/06/2024,Parent Workshop,Adults,No,No,No,Yes,No,,40.664827,-73.911415,316.0,41.0,3081765.0,3035590011.0,924.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBA Cornerstone at PS 170K,Outreach,1940 Benson Avenue,BK,11214,Citywide Outreach,08/06/2024,"Safer Streets
Safer Streets","Grade 4
Grade 4",No,No,No,Yes,No,,40.603188,-74.001408,311.0,38.0,3167818.0,3064070008.0,282.0,BK1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN Dr Betty Shabazz Health and Resource,Special Event,999 Blake Ave,BK,11207,Citywide Outreach,08/06/2024,"Community Fair
Community Fair",,No,No,No,No,Yes,,40.669839,-73.881365,305.0,42.0,3089807.0,3040510001.0,1164.0,BK0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Sinai Morningside West WIC,Child Passenger Safety,361 West 125th Street,MN,10027,Citywide Outreach,08/06/2024,Parent Workshop,Adults,No,Yes,No,No,No,,40.810952,-73.953005,109.0,9.0,1059308.0,1019520009.0,20901.0,MN0901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Night Out 107 Pct,Special Event,Parsons Boulevard and Jewel Avenue,QN,11367,Citywide Outreach,08/06/2024,"Other Special Event
Other Special Event","Adults
Children",No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD PCT 34    NNO,Special Event,183rd and Broadway,MN,10033,Citywide Outreach,08/06/2024,Other Special Event,"Children
Adults",No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
